surface_id         , u_index, v_index, point_id  , x        , y         , z        , is_design_var, u_tag , v_tag
shank_strut_surface,       0,       0, cp_u00_v00,  0.000000, 332.500000, 53.500000, false        , top   , outer_boundary
shank_strut_surface,       0,       1, cp_u00_v01,  0.000000, 309.000000, 53.500000, false        , top   , interior
shank_strut_surface,       0,       2, cp_u00_v02,  0.000000, 285.500000, 53.500000, false        , top   , interior
shank_strut_surface,       0,       3, cp_u00_v03,  0.000000, 262.000000, 53.500000, false        , top   , inner_boundary
shank_strut_surface,       1,       0, cp_u01_v00, 16.000000, 318.690000, 53.500000, true         ,       , outer_boundary
shank_strut_surface,       1,       1, cp_u01_v01, 16.600000, 299.333333, 53.476667, true         ,       , interior
shank_strut_surface,       1,       2, cp_u01_v02, 17.200000, 279.976667, 53.453333, true         ,       , interior
shank_strut_surface,       1,       3, cp_u01_v03, 17.800000, 260.620000, 53.430000, true         ,       , inner_boundary
shank_strut_surface,       2,       0, cp_u02_v00, 17.220000, 291.980000, 54.390000, true         ,       , outer_boundary
shank_strut_surface,       2,       1, cp_u02_v01, 19.450000, 277.093333, 53.726667, true         ,       , interior
shank_strut_surface,       2,       2, cp_u02_v02, 21.680000, 262.206667, 53.063333, true         ,       , interior
shank_strut_surface,       2,       3, cp_u02_v03, 23.910000, 247.320000, 52.400000, true         ,       , inner_boundary
shank_strut_surface,       3,       0, cp_u03_v00, 26.730000, 279.980000, 57.250000, true         ,       , outer_boundary
shank_strut_surface,       3,       1, cp_u03_v01, 26.853333, 257.590000, 55.553333, true         ,       , interior
shank_strut_surface,       3,       2, cp_u03_v02, 26.976667, 235.200000, 53.856667, true         ,       , interior
shank_strut_surface,       3,       3, cp_u03_v03, 27.100000, 212.810000, 52.160000, true         ,       , inner_boundary
shank_strut_surface,       4,       0, cp_u04_v00, 36.660000, 256.570000, 47.700000, true         ,       , outer_boundary
shank_strut_surface,       4,       1, cp_u04_v01, 35.766667, 223.196667, 49.710000, true         ,       , interior
shank_strut_surface,       4,       2, cp_u04_v02, 34.873333, 189.823333, 51.720000, true         ,       , interior
shank_strut_surface,       4,       3, cp_u04_v03, 33.980000, 156.450000, 53.730000, true         ,       , inner_boundary
shank_strut_surface,       5,       0, cp_u05_v00, 40.050000, 194.810000, 40.600000, true         ,       , outer_boundary
shank_strut_surface,       5,       1, cp_u05_v01, 40.430000, 170.000000, 44.810000, true         ,       , interior
shank_strut_surface,       5,       2, cp_u05_v02, 40.810000, 145.190000, 49.020000, true         ,       , interior
shank_strut_surface,       5,       3, cp_u05_v03, 41.190000, 120.380000, 53.230000, true         ,       , inner_boundary
shank_strut_surface,       6,       0, cp_u06_v00, 45.480000, 143.830000, 39.750000, true         ,       , outer_boundary
shank_strut_surface,       6,       1, cp_u06_v01, 48.300000, 123.970000, 42.133333, true         ,       , interior
shank_strut_surface,       6,       2, cp_u06_v02, 51.120000, 104.110000, 44.516667, true         ,       , interior
shank_strut_surface,       6,       3, cp_u06_v03, 53.940000, 84.250000 , 46.900000, true         ,       , inner_boundary
shank_strut_surface,       7,       0, cp_u07_v00, 52.950000, 98.590000 , 34.430000, true         ,       , outer_boundary
shank_strut_surface,       7,       1, cp_u07_v01, 56.636667, 85.126667 , 36.086667, true         ,       , interior
shank_strut_surface,       7,       2, cp_u07_v02, 60.323333, 71.663333 , 37.743333, true         ,       , interior
shank_strut_surface,       7,       3, cp_u07_v03, 64.010000, 58.200000 , 39.400000, true         ,       , inner_boundary
shank_strut_surface,       8,       0, cp_u08_v00, 69.230000, 57.100000 , 20.900000, true         ,       , outer_boundary
shank_strut_surface,       8,       1, cp_u08_v01, 68.983333, 51.453333 , 23.616667, true         ,       , interior
shank_strut_surface,       8,       2, cp_u08_v02, 68.736667, 45.806667 , 26.333333, true         ,       , interior
shank_strut_surface,       8,       3, cp_u08_v03, 68.490000, 40.160000 , 29.050000, true         ,       , inner_boundary
shank_strut_surface,       9,       0, cp_u09_v00, 71.660000, 35.280000 , 5.990000 , true         ,       , outer_boundary
shank_strut_surface,       9,       1, cp_u09_v01, 70.780000, 32.863333 , 9.973333 , true         ,       , interior
shank_strut_surface,       9,       2, cp_u09_v02, 69.900000, 30.446667 , 13.956667, true         ,       , interior
shank_strut_surface,       9,       3, cp_u09_v03, 69.020000, 28.030000 , 17.940000, true         ,       , inner_boundary
shank_strut_surface,      10,       0, cp_u10_v00, 69.280000, 17.940000 , -6.990000, true         ,       , outer_boundary
shank_strut_surface,      10,       1, cp_u10_v01, 68.096667, 17.096667 , -1.906667, true         ,       , interior
shank_strut_surface,      10,       2, cp_u10_v02, 66.913333, 16.253333 , 3.176667 , true         ,       , interior
shank_strut_surface,      10,       3, cp_u10_v03, 65.730000, 15.410000 , 8.260000 , true         ,       , inner_boundary
shank_strut_surface,      11,       0, cp_u11_v00, 68.500000, -10.000000, -7.000000, true         , bottom, outer_boundary
shank_strut_surface,      11,       1, cp_u11_v01, 67.166667, -10.000000, -2.333333, true         , bottom, interior
shank_strut_surface,      11,       2, cp_u11_v02, 65.833333, -10.000000, 2.333333 , true         , bottom, interior
shank_strut_surface,      11,       3, cp_u11_v03, 64.500000, -10.000000, 7.000000 , true         , bottom, inner_boundary
